"","TTE","PATCH"
"1159",111,"C"
"1160",48,"C"
"1161",36,"C"
"1162",398,"C"
"1163",319,"C"
"1164",460,"C"
"1165",469,"B"
"1166",208,"C"
"1167",337,"C"
"1168",198,"C"
"1169",400,"C"
"1170",385,"C"
"1171",364,"B"
"1172",161,"C"
"1173",283,"B"
"1174",326,"C"
"1175",240,"C"
"1176",51,"C"
"1177",402,"C"
"1178",483,"C"
"1179",293,"C"
"1180",371,"C"
"1181",396,"C"
"1182",136,"C"
"1183",73,"C"
"1184",300,"C"
"1185",18,"C"
"1186",290,"C"
"1187",193,"C"
"1188",475,"C"
"1189",52,"C"
"1190",237,"C"
"1191",312,"C"
"1192",232,"C"
"1193",360,"C"
"1194",299,"C"
"1195",225,"C"
"1196",135,"B"
"1197",86,"B"
"1198",459,"C"
"1199",207,"C"
"1200",82,"C"
"1201",124,"C"
"1202",342,"C"
"1203",415,"C"
"1204",37,"C"
"1205",77,"C"
"1206",35,"C"
"1207",35,"C"
"1208",391,"C"
"1209",201,"C"
"1210",268,"C"
"1211",222,"C"
"1212",152,"C"
"1213",114,"B"
"1214",24,"C"
"1215",464,"C"
"1216",74,"C"
"1217",153,"C"
"1218",382,"C"
"1219",51,"C"
"1220",426,"C"
"1221",420,"C"
"1222",72,"C"
"1223",204,"C"
"1224",243,"C"
"1225",342,"C"
"1226",286,"C"
"1227",169,"C"
"1228",52,"C"
"1229",173,"C"
"1230",411,"C"
"1231",100,"C"
"1232",269,"C"
"1233",159,"C"
"1234",260,"C"
"1235",61,"C"
"1236",325,"C"
"1237",219,"C"
"1238",414,"C"
"1239",134,"C"
"1240",194,"C"
"1241",384,"B"
"1242",33,"C"
"1243",136,"C"
"1244",89,"C"
"1245",376,"C"
"1246",277,"B"
"1247",96,"C"
"1248",333,"C"
"1249",415,"B"
"1250",266,"C"
"1251",450,"B"
"1252",118,"B"
